Song,Artist,easy,basic,advanced,expert,master,remaster
Revive The Rave,void(Mournfinale),4,6.0,8,10.6,12.4,-
Riders Of The Light,「BAYONETTA(ベヨネッタ)」,3,3.0,6.6,9.9,10.2,-
Rodeo Machine,HALFBY,1,3.0,6.5,9.7,12.3,-
Rooftop Run: Act1,「ソニック ジェネレーションズ」,2,4.0,6.6,9.7,10.1,11.7
SAKURAスキップ,fourfolium 「NEW GAME!」,2,4.0,6.2,7.8,10.9,-
SAVIOR OF SONG,ナノ feat.MY FIRST STORY,3,4.0,7.4,9,12.4,-
SILENT BLUE,かねこちはる,4,5.0,8,11.4,13.8,-
SPICY SWINGY STYLE,明坂 芹菜(CV:新田 恵海),3,5.0,7.8,10,12.1,-
SPILL OVER COLORS,矢鴇つかさ feat. kalon.,3,4.0,7.7,10,12.2,-
SPiCa,とくP,2,4.0,6.4,8.4,11.3,-
STAIRWAY TO GENERATION,Yosh(Survive Said The Prophet),2,5.0,7,9.8,12.2,-
Sakura Fubuki,Street,3,4.0,7.5,10.7,12.7,-
Save This World νMIX,「PHANTASY STAR PORTABLE」,3,5.0,7.3,8.9,11.9,11.9
Scarlet Lance,MASAKI(ZUNTATA)「グルーヴコースター 3EX ドリームパーティー」より,3,6.0,8.5,11.2,13,-
Scars of FAUNA,猫叉Master 「jubeat」より,2,5.0,7,9.6,12.7,-
Schwarzschild,Tsukasa,4,6.0,8.9,11.5,13.5,13.9
Scream out! -maimai SONIC WASHER Edit-,A-One,3,5.0,7.8,10.8,12.8,-
Selector,Aliesrite*（Ym1024 fear. lamie*）,2,5.0,7,10.2,12.6,-
Signature,Palme,3,4.0,7.8,10.8,12.2,-
Spin me harder,D.watt (IOSYS) feat. Asana,3,6.0,7.6,10.7,12.5,-
Sprintrances,Taishi,3,5.0,7.8,9.6,11.7,-
Stand Up!!!!,鈴木結愛（CV:西 明日香）/ 佐藤陽菜（CV:明坂聡美）/高橋 葵（CV:荻野可鈴）/田中心春（CV:大橋彩香）/「てさぐれ！部活もの」 ［アニメPV］,2,4.0,6.5,8.8,11,-
StargazeR,骨盤P,2,4.0,6.8,9.2,11,-
Starlight Dance Floor,発熱巫女～ず,1,4.0,6.8,8.8,11.1,-
Starlight Disco,loos feat. Meramipop,2,4.0,7,10.4,10.6,11.6
Starlight Vision,矢鴇つかさ feat. 三澤秋,2,4.0,7,9.8,11.4,-
Star☆Glitter,セブンスシスターズ,2,4.0,7,9.5,11.3,-
Still,イロドリミドリ「CHUNITHM」,2,4.0,6.8,9.7,12.4,-
Streak,ARM (IOSYS),3,6.0,7.3,10.8,12.3,-
Sun Dance,Hiro「Crackin'DJ」,2,4.0,6.8,7.7,9.1,12.9
Sunshine world tour,夢色キャスト,2,4.0,7,8.8,11,-
Sweet Devil,八王子P,2,4.0,6.6,9.8,11.3,-
Sweetiex2,Dixie Flatline,2,4.0,6.1,7.3,9.9,-
Sweets×Sweets,Team-D,2,5.0,6.6,8,9.7,-
TRUST,小仏 凪(CV:佐倉 薫),3,5.0,7,9.8,12.1,-
Tell Your World,livetune,1,4.0,6.7,8.9,10.7,11.2
Terminal Storm,三草康二郎「CODE OF JOKER」,2,4.0,7,9.7,12.1,-
The Great Journey,光吉猛修 「ホルカ・トルカ」,2,4.0,6,8.9,10,-
The wheel to the right,Sampling Masters MEGA,4,6.0,8.1,11,12.9,-
This game,鈴木このみ「ノーゲーム・ノーライフ」,2,4.0,6.6,9.9,12,-
TiamaT:F minor,Team Grimoire,3,6.0,9.5,11.8,13.2,-
Time To Make History (AKIRA YAMAOKA Remix),目黒 将司 Remixed by 山岡 晃,3,5.0,7.4,9.6,12.5,-
True Love Song,Kai / クラシック「G線上のアリア」,2,4.0,6.4,8.8,9.8,-
Turn around,Clean Tears,3,6.0,7.3,11.8,12.2,-
ULTRA B+K,nora2r,3,5.0,7.8,10.5,12.9,-
Ultranova,A4paper,3,5.0,7.8,11.2,13,-
Urban Crusher [Remix],「BORDER BREAK」,3,6.0,8.3,11.5,11.7,-
VERTeX,Hiro,3,5.0,8,10.2,13.4,-
WARNING×WARNING×WARNING,暁Records,2,4.0,7,9.2,11.3,-
WORLD'S END UMBRELLA,ハチ,2,4.0,7.5,8.8,11.5,-
We Gonna Journey,Queen P.A.L.,3,6.0,8.3,10.9,12.9,-
We Gonna Party,Cranky,3,6.0,7.8,11.4,12.2,-
White Traveling Girl,A-One,2,4.0,6.8,9,12.3,-
Windy Hill -Zone 1,大谷智哉 「ソニック ロストワールド」,2,4.0,7.5,9.4,11.7,-
World Vanquisher,void(Mournfinale),4,6.0,8.8,11.6,13.2,-
Xevel,Tatsh,4,6.0,8,11,13.3,-
YATTA!,はっぱ隊 [cover],1,3.0,6.1,8.1,10,-
YU-MU,岸田教団＆THE明星ロケッツ,2,4.0,6.7,9.3,10.9,-
ZIGG-ZAGG,Junky,3,6.0,6,7.7,9.2,11.3
air's gravity,zts,4,5.0,7.8,9.8,12.1,-
awake,下田麻美「Shining・Force CROSS ELYSION」,2,4.0,7.7,8,11.7,-
brilliant better,御形 アリシアナ (イロドリミドリ),3,5.0,6.7,9.9,11.7,-
come again,m-flo [cover],2,5.0,6.4,8.8,10.1,-
conflict,siromaru + cranky,3,5.0,7.2,10.9,13.2,-
connecting with you,Takahiro Eguchi feat. 三澤秋,3,4.0,7.4,9.3,11.7,-
fake!fake!,カラスは真っ白,2,4.0,7,8.7,11.7,-
fantastic dreamer,Machico「この素晴らしい世界に祝福を!」,3,4.0,6.7,8.8,11.4,-
jelly,capsule [cover],2,4.0,7.2,7.7,10.7,-
keep hopping,kamome sano,3,5.0,7.8,10.8,12.9,-
larva,ガリガリさむし,4,6.0,8.5,11.6,13.7,-
magician's operation,EZFG,2,4.0,7.1,10,12.6,-
oboro,ヒゲドライバー,3,5.0,7.6,10,12.7,-
only my railgun,fripSide,2,4.0,6.2,9,10.7,11.7
planet dancer,樽木栄一郎,2,5.0,7,9.7,11.9,-
shake it!,emon,2,4.0,6.8,7.5,10.8,-
sweet little sister,Silver Forest,2,4.0,6.3,9.1,11.7,-
taboo tears you up,REDALiCE(HARDCORE TANO*C),3,5.0,7.4,9.6,11.7,-
the EmpErroR,sasakure.UK,3,5.0,9.7,12,13.6,13.9
true my heart -Lovable mix-,ave;new feat.佐倉紗織,1,4.0,6.2,8.8,11,-
あねぺったん,月鈴姉妹(イロドリミドリ),2,5.0,7.4,9.2,11.8,-
いぇす！ゆゆゆ☆ゆるゆり♪♪,七森中☆ごらく部 「ゆるゆり♪♪」,2,4.0,7,9.2,11.2,-
うまるん体操,妹S「干物妹！うまるちゃんR」,2,4.0,6.8,8.5,10.5,11.2
きたさいたま2000,LindaAI-CUE(BNGI) 「太鼓の達人」より,3,5.0,7.8,11.4,13.1,-
その群青が愛しかったようだった,n-buna feat.ヤギヌマカナ,2,5.0,7,9.5,11.4,-
ちょちょちょ！ゆるゆり☆かぷりっちょ！！！,七森中☆ごらく部 「ゆるゆり さん☆ハイ！」,2,4.0,7,9.4,11.4,-
なるとなぎのパーフェクトロックンロール教室,イロドリミドリ「CHUNITHM」,3,5.0,7,9.7,12.3,-
ゆりゆららららゆるゆり大事件,七森中☆ごらく部 「ゆるゆり」,2,4.0,6.4,7.5,10.7,-
アリサのテーマ,池頼広,2,4.0,6.8,9.8,12.7,-
キミとボクのミライ,ジータ(CV:金元寿子)、ルリア(CV:東山奈央)、ヴィーラ(CV:今井麻美)、マリー(CV:長谷川明子),2,4.0,7,9,10.2,11.7
ホシトハナ,讃州中学勇者部 「結城友奈は勇者である」,2,4.0,6.8,9.2,11,-
全力☆Summer!,angela「アホガール」,2,4.0,6.7,8.8,10.8,11.8
回レ！雪月花,歌組雪月花 夜々(原田 ひとみ)/いろり(茅野 愛衣)/小紫(小倉 唯) 「機少女は傷つかない」,2,4.0,7.2,9,12.5,-
夜明けまであと３秒,Taku Inoue,4,6.0,8.5,11,12.9,-
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,小仏 凪(CV:佐倉 薫),2,5.0,6.7,8.2,12,-
